title,address,description,date,seller,price,image
4 bedroom town house for sale,"Augustus Road, Edgbaston","Englands are pleased to present to market this four bedroom end town house set in a convenient and highly sought after residential location of Edgbaston. The accommodation stands at almost 1,200 sq. ft. and briefly comprises entrance lobby, downstairs WC/shower room, 'L' shaped lounge/ dining roo...",02/04/2019,"Englands Estate Agents, Harborne","£467,500",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15170/78928301/15170_101624005976_IMG_01_0000_max_476x317.jpg
2 bedroom flat for sale,"The Lightwell, Cornwall Street, Birmingham City Centre, West Midlands, B3","LAST CHANCE TO BUY - Luxury apartment in Birmingham city centre **HELP TO BUY AVAILABLE** STYLISH, open plan apartment located on the top floor with SOUTH FACING TERRACE. Floor to ceiling windows. In the heart of Birmingham's business district within easy reach of many restaurants, bars, coffee ...",12/12/2019,"Knight Frank - New Homes, Birmingham","£467,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/41k/40862/67006701/40862_BRD170050_IMG_01_0000_max_476x317.jpg
2 bedroom apartment for sale,"The Lightwell, Cornwall Street, Birmingham",LAST REMAINING PENTHOUSES IN THE HEART OF COLMORE BUSINESS DSISTRICT Show Apartment now available to view by prior appointment. The Lightwell has been designed to capture and celebrate the spirit of Colmore Business District. From the commercial ground floor right up to the Pen...,22/08/2018,"FleetMilne, Birmingham","£467,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/12k/11021/62773875/11021_28830298_IMG_16_0000_max_476x317.jpg
3 bedroom apartment for sale,Royal Arch Apartments Wharfside Street,"A fantastic opportunity to purchase a luxury 3 bedroom duplex apartment in the highly sort after Royal Arch development. Based in The Mailbox, with it's designer stores, independent boutiques, stylish restaurants and the home of the famous Harvey Nicholls brand. ",today,"Maguire Jackson, Birmingham Sales","£465,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12750/76213585/12750_103430005095_IMG_01_0000_max_476x317.jpg
4 bedroom semi-detached house for sale,"Stratford Road, Hall Green, Birmingham, B28",** REDUCED FOR QUICK SALE **An attractive double fronted Victorian semi detached property offering extremely versatile accommodation with extensive grounds to the rear and having planning permission for extensions (subject to conditions). to provide eight bedrooms with four en suites and a large...,21/11/2019,"Robert Oulsnam & Company, Moseley","£465,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36548/85710281/36548_MOS190026_IMG_01_0000_max_476x317.JPG
5 bedroom detached house for sale,"Hodge Hill Common, Birmingham, B36","BOOK YOUR VIEWING TODAY TO AVOID DISAPPOINTMENT. Welcoming to the market this high specification FIVE bedroom THREE storey EXECUTIVE detached family home set in a private estate behind intercom gated entry. The property in brief comprises large and welcoming entrance hallway, extensive rear loung...",05/07/2019,"Purplebricks, covering Central England","£465,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/152k/151073/61478010/151073_685496-1_IMG_01_0000_max_476x317.JPG
5 bedroom detached house for sale,"Woodchurch Grange, Sutton Coldfield","Just Move Estate Agents and Lettings are delighted to bring to market this Five Bedroomed Detached Family Home on Woodchurch Grange in the sought-after residential location of Boldmere.This imposing detached property has so much to offer any Family, being set in a quiet cul de sac location this h...",26/09/2019,"Just Move Estate Agents & Lettings, Erdington","£465,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107051/65351421/107051_9329108_IMG_01_0000_max_476x317.jpg
5 bedroom detached house for sale,"Berwood Farm Road, Wylde Green","This superbly presented 5 bedroom detached house has been extended by the current owners & includes a two-storey annexe. Occupying a convenient location & within close proximity to Penns Primary School, the property stands behind a three-car driveway and enjoys the benefit of a large, ver...",14/10/2019,"Green & Company, Walmley","£465,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/16k/15212/82726853/15212_101995044607_IMG_36_0000_max_476x317.jpg
6 bedroom detached house for sale,"Station Road, Stechford, Birmingham, B33","Well presented and extended 6 bedrooms detached home - perfect family home. The property comprises of entrance porch, hallway, two reception rooms, large kitchen/diner with utility area, six double bedrooms and shower room to first floor. The property also benefits from off road parking, central...",25/10/2019,"Purplebricks, covering Central England","£450,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/152k/151073/65983458/151073_831856-1_IMG_03_0000_max_476x317.jpg
6 bedroom detached house for sale,"Springfield Road, Kings Heath, Birmingham","This larger than usual property is ideal for a large family or maybe an investor looking to obtain a property to rent out on a single room basis. It comes with six/seven bedrooms, three reception rooms, two bathrooms and an ensuite, and a driveway for up to six cars.",30/11/2019,"Connells, B'ham South - Kings Heath","£450,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1592/87070346/1592_KTH307290_IMG_01_0000_max_476x317.JPG
