title,address,description,date,seller,price,image
2 bedroom flat for sale,"Slough,Berkshire,SL1",This two bedroom apartment is conveniently situated for the town centre and transport links. Ideal for first time buyers and investors.,09/11/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/62866306/145253_2533578_IMG_14_0000_max_476x317.jpg
2 bedroom flat for sale,"Slough,Berkshire,SL1",This two bedroom apartment is conveniently situated for the town centre and transport links. Ideal for first time buyers and investors.,09/11/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/62866303/145253_2533575_IMG_19_0000_max_476x317.jpg
1 bedroom maisonette for sale,"Slough,Berkshire,SL1",A one bedroom maisonette situated 0.1 miles to Slough town centre and mainline station. Ideal for first time buyers and investors.,11/07/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/83250041/145253_3133068_IMG_02_0000_max_476x317.jpg
1 bedroom apartment for sale,"Upton Park, Slough","A PERFECT FIRST TIME PURCHASE OR INVESTMENT! A spacious one bedroom apartment situated in the ever popular Upton Park a stones throw away from Herschel Park which has recently been redeveloped. The living accommodation comprises a open plan lounge/ diner, fitted kitchen and shower room. Further b...",10/10/2019,"Horler & Associates, Windsor","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/3k/2799/64496892/2799_29032952_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Slough,Berkshire,SL2","Situated 0.1 miles from Slough mainline station is this modern one bedroom apartment. Benefiting from allocated parking, balcony and no onwards chain.",26/11/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/86569361/145253_3206393_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Slough,Berkshire,SL1",A beautifully presented one bedroom apartment situated less than one mile from Slough town centre and mainline station. Ideal for first time buyers and investors.,01/11/2019,"Chancellors, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145253/84815336/145253_3185558_IMG_01_0000_max_476x317.jpg
Studio apartment for sale,"High Street, Slough","**Parking Contribution**! Apartment 3 is a spacious studio apartment (440 sqft) with views over the High Street. Benefits include good size storage room, built in wardrobes, ample windows offering natural light and electric heating. Selection of other apartments available.",02/10/2019,"Connells, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1579/85335518/1579_SGH306966_IMG_16_0000_max_476x317.JPG
1 bedroom flat for sale,"30 Bath Road, Slough","Guide Price £200,000 - £210,000 *Fifth Floor Flat Presented In Good Condition *One Double Bedroom *Open Plan Lounge & Kitchen *Balcony *Bathroom *Lift To Floors *Secure Gated Underground Parking *Allocated Parking Space *Long Lease of 111 Years",01/05/2019,"Glenn Flegg & Company, Burnham, Slough","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/13k/12463/65111275/12463_GFBSA_522404_IMG_13_0000_max_476x317.jpg
1 bedroom apartment for sale,"Princes House, Slough",**BRAND NEW ONE BEDROOM APARTMENT IN PRINCES HOUSE AVAILABLE NOW** *HELP TO BUY* Martin & Co Slough are pleased to present this brand new one bedroom apartment located in extremely close proximity to Slough Station (Crossrail) and Slough High Street. The apartment offer amazing quality throu...,13/04/2019,"Martin & Co, Slough - Lettings & Sales","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80945/72652862/80945_100705001506_IMG_01_0000_max_476x317.jpg
1 bedroom flat for sale,"Raleigh Close, Slough","Viewings are highly recommended to purchase this modern 1-bedroom ground floor flat which is conveniently located. Allocated parking space, open living room, long lease & ground floor. Go online to make an appointment to view or Call Local Yopa Agent for further info.",04/09/2019,"YOPA, South East","£200,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/204k/203807/63319470/203807_136265_IMG_07_0000_max_476x317.jpg
